image_id,target,bottle_type,fold,prob
ad0f5a12-93fe-4ebb-9aae-ef12ef5246f8_000000000001.png,0,"0,33L Vichy brown crown cap",1,0.00028685410507023335
1d1ee6a4-5b1b-4280-a254-29b4cb5c1267_000000000002.png,1,"0,5L Euro brown crown cap",2,0.0572819747030735
3710d5e0-832e-461b-8922-4b83308ae692_000000000003.png,0,"0,33L Vichy brown crown cap",0,0.03390795737504959
9a4a0c6c-4e26-4aba-8d59-f6dfe609fb21_000000000004.png,1,"0,5L NRW brown crown cap",1,0.9997965693473816
799ec8dc-68a5-4690-90ba-7708d016e681_000000000005.png,1,"0,5L NRW brown crown cap",2,0.9351099133491516
0a70ac55-b733-40ff-bd4d-9a27b5b8f17c_000000000006.png,1,"0,5L Euro brown crown cap",2,0.9999245405197144
3f6fd96c-84db-4bc6-9b4a-0f7034bfa338_000000000007.png,0,"0,5L Euro brown crown cap",2,0.000810387369710952
3816e24c-fc66-44aa-91ba-954a1a37d082_000000000008.png,1,"0,5L NRW brown crown cap",1,0.18609505891799927
9f45d60d-85e0-42a4-9c49-a1eb80c8a5a9_000000000009.png,1,"0,5L NRW brown crown cap",2,0.9999735355377197
66d23b5e-cf58-438e-97ce-5cb5624b2fc9_000000000010.png,0,"0,33L Vichy brown crown cap",2,0.04543721675872803
51b6222a-f9cc-414b-ae33-4f214a82353d_000000000011.png,1,"0,5L NRW brown crown cap",1,0.9982590079307556
ca9ec6c8-8f94-44ba-a49a-d7b065b3fe38_000000000012.png,1,"0,5L NRW brown crown cap",2,0.9981104135513306
a0b0047c-04a0-48cd-af41-f4b50756c4d9_000000000013.png,0,"0,5L Euro brown crown cap",0,0.00011682839976856485
07eb9c49-bf3e-486a-92b3-9ebeef50f006_000000000014.png,1,"0,5L NRW brown crown cap",0,0.9999939203262329
2c339488-949b-46d8-844e-bd6191f3fab6_000000000015.png,0,"0,5L NRW brown crown cap",0,0.005099818110466003
bc18de21-085f-4a29-bb9d-49addc2c91a3_000000000016.png,1,"0,5L NRW brown crown cap",0,0.9999985694885254
da6cb135-a953-4deb-ad45-de35255cd30a_000000000017.png,1,"0,5L NRW brown crown cap",0,0.9999402761459351
47ae5db0-bb4d-4e42-b4cd-73777c4018ab_000000000018.png,1,"0,5L NRW brown crown cap",1,0.9999456405639648
f093f058-bd61-4ac2-816a-10d952453e19_000000000019.png,1,"0,5L NRW brown crown cap",2,0.9999889135360718
